date;month;behaviourDome;comment_Lukas;behavior;behavBlock
01.12.20;12;NA;;shallowDVM;48
02.12.20;12;NA;;NA;1
03.12.20;12;NA;;NA;1
04.12.20;12;NA;;NA;1
05.12.20;12;NA;;NA;1
06.12.20;12;NA;;NA;1
07.12.20;12;shallowDVM;;shallowDVM;2
08.12.20;12;shallowDVM;NA;shallowDVM;2
09.12.20;12;shallowDVM;NA;shallowDVM;2
10.12.20;12;shallowDVM;NA;shallowDVM;2
11.12.20;12;shallowDVM;;shallowDVM;2
12.12.20;12;shallowDVM;;shallowDVM;2
13.12.20;12;shallowDVM;;shallowDVM;2
14.12.20;12;shallowDVM;;shallowDVM;2
15.12.20;12;shallowDVM;;shallowDVM;2
16.12.20;12;shallowDVM;;shallowDVM;2
17.12.20;12;shallowDVM;;shallowDVM;2
18.12.20;12;shallowDVM;;shallowDVM;2
19.12.20;12;shallowDVM;;shallowDVM;2
20.12.20;12;shallowDVM;;shallowDVM;2
21.12.20;12;shallowDVM;;shallowDVM;2
22.12.20;12;shallowDVM;;shallowDVM;2
23.12.20;12;shallowDVM;;shallowDVM;2
24.12.20;12;shallowDVM;;shallowDVM;2
25.12.20;12;shallowDVM;;shallowDVM;2
26.12.20;12;shallowDVM;;shallowDVM;2
27.12.20;12;shallowDVM;NA;NA;3
28.12.20;12;NA;;NA;3
29.12.20;12;NA;;NA;3
30.12.20;12;NA;;NA;3
31.12.20;12;constantSurface;;constantSurface;4
01.01.21;1;NA;;NA;5
02.01.21;1;shallowDVM;;shallowDVM;6
03.01.21;1;shallowDVM;;shallowDVM;6
04.01.21;1;shallowDVM;;shallowDVM;6
05.01.21;1;shallowDVM;;shallowDVM;6
06.01.21;1;shallowDVM;;shallowDVM;6
07.01.21;1;shallowDVM;;shallowDVM;6
08.01.21;1;shallowDVM;;shallowDVM;6
09.01.21;1;shallowDVM;;shallowDVM;6
10.01.21;1;shallowDVM;;shallowDVM;6
11.01.21;1;NA;;NA;7
12.01.21;1;DVM12h;DVM;DVM;8
13.01.21;1;DVM12h;;DVM12h;9
14.01.21;1;DVM12h;;DVM12h;9
15.01.21;1;DVM12h;;DVM12h;9
16.01.21;1;DVM12h;;DVM12h;9
17.01.21;1;DVM12h;;DVM12h;9
18.01.21;1;DVM12h;;DVM12h;9
19.01.21;1;DVM12h;;DVM12h;9
20.01.21;1;DVM12h;;DVM12h;9
21.01.21;1;DVM12h;;DVM12h;9
22.01.21;1;DVM12h;;DVM12h;9
23.01.21;1;DVM12h;;DVM12h;9
24.01.21;1;DVM;;DVM;10
25.01.21;1;DVM;;DVM;10
26.01.21;1;DVM;;DVM;10
27.01.21;1;DVM;NA;NA;11
28.01.21;1;NA;;NA;11
29.01.21;1;NA;;NA;11
30.01.21;1;NA;;NA;11
31.01.21;1;shallowDVM;;shallowDVM;12
01.02.21;2;shallowDVM;;shallowDVM;12
02.02.21;2;shallowDVM;;shallowDVM;12
03.02.21;2;shallowDVM;;shallowDVM;12
04.02.21;2;shallowDVM;;shallowDVM;12
05.02.21;2;shallowDVM;;shallowDVM;12
06.02.21;2;shallowDVM;;shallowDVM;12
07.02.21;2;shallowDVM;;shallowDVM;12
08.02.21;2;NA;;NA;13
09.02.21;2;shallowDVM;;shallowDVM;14
10.02.21;2;shallowDVM;;shallowDVM;14
11.02.21;2;shallowDVM;;shallowDVM;14
12.02.21;2;shallowDVM;;shallowDVM;14
13.02.21;2;shallowDVM;;shallowDVM;14
14.02.21;2;shallowDVM;;shallowDVM;14
15.02.21;2;NA;;NA;15
16.02.21;2;NA;;NA;15
17.02.21;2;NA;;NA;15
18.02.21;2;NA;;NA;15
19.02.21;2;DVM;;DVM;16
20.02.21;2;DVM;;DVM;16
21.02.21;2;DVM;;DVM;16
22.02.21;2;DVM;;DVM;16
23.02.21;2;DVM;;DVM;16
24.02.21;2;DVM;;DVM;16
25.02.21;2;DVM;;DVM;16
26.02.21;2;DVM;;DVM;16
27.02.21;2;DVM;;DVM;16
28.02.21;2;DVM;;DVM;16
01.03.21;3;DVM;;DVM;16
02.03.21;3;DVM;;DVM;16
03.03.21;3;DVM;;DVM;16
04.03.21;3;NA;;NA;17
05.03.21;3;NA;;NA;17
06.03.21;3;NA;;NA;17
07.03.21;3;DVM;;DVM;18
08.03.21;3;DVM;;DVM;18
09.03.21;3;DVM;;DVM;18
10.03.21;3;NA;;NA;19
11.03.21;3;NA;;NA;19
12.03.21;3;DVM;;DVM;20
13.03.21;3;DVM;;DVM;20
14.03.21;3;DVM;;DVM;20
15.03.21;3;DVM;;DVM;20
16.03.21;3;DVM;;DVM;20
17.03.21;3;DVM;;DVM;20
18.03.21;3;DVM;NA;NA;21
19.03.21;3;DVM;NA;NA;21
20.03.21;3;NA;NA;NA;21
21.03.21;3;reverseDVM;NA;NA;21
22.03.21;3;reverseDVM;NA;NA;21
23.03.21;3;reverseDVM;;reverseDVM;22
24.03.21;3;reverseDVM;;reverseDVM;22
25.03.21;3;reverseDVM;;reverseDVM;22
26.03.21;3;reverseDVM;shallowDVM;reverseDVM;22
27.03.21;3;reverseDVM;shallowDVM;reverseDVM;22
28.03.21;3;NA;;NA;23
29.03.21;3;NA;;NA;23
30.03.21;3;reverseDVM;;reverseDVM;24
31.03.21;3;reverseDVM;;reverseDVM;24
01.04.21;4;reverseDVM;;reverseDVM;24
02.04.21;4;reverseDVM;;reverseDVM;24
03.04.21;4;reverseDVM;;reverseDVM;24
04.04.21;4;reverseDVM;;reverseDVM;24
05.04.21;4;reverseDVM;;reverseDVM;24
06.04.21;4;NA;;NA;25
07.04.21;4;NA;;NA;25
08.04.21;4;NA;;NA;25
09.04.21;4;reverseDVM;;reverseDVM;26
10.04.21;4;reverseDVM;;reverseDVM;26
11.04.21;4;reverseDVM;;reverseDVM;26
12.04.21;4;reverseDVM;;reverseDVM;26
13.04.21;4;reverseDVM;;reverseDVM;26
14.04.21;4;reverseDVM;;reverseDVM;26
15.04.21;4;reverseDVM;;reverseDVM;26
16.04.21;4;reverseDVM;;reverseDVM;26
17.04.21;4;reverseDVM;;reverseDVM;26
18.04.21;4;reverseDVM;;reverseDVM;26
19.04.21;4;reverseDVM;;reverseDVM;26
20.04.21;4;DVM;;DVM;27
21.04.21;4;DVM;;DVM;27
22.04.21;4;DVM;;DVM;27
23.04.21;4;DVM;;DVM;27
24.04.21;4;DVM;;DVM;27
25.04.21;4;NA;;NA;28
26.04.21;4;constantSurface;;constantSurface;29
27.04.21;4;constantSurface;;constantSurface;29
28.04.21;4;constantSurface;;constantSurface;29
29.04.21;4;constantSurface;;constantSurface;29
30.04.21;4;constantSurface;;constantSurface;29
01.05.21;5;constantSurface;;constantSurface;29
02.05.21;5;constantSurface;;constantSurface;29
03.05.21;5;NA;;NA;30
04.05.21;5;NA;;NA;30
05.05.21;5;NA;;NA;30
06.05.21;5;diffuseDVM;;diffuseDVM;31
07.05.21;5;diffuseDVM;;diffuseDVM;31
